Drug 0
        IC50  Label
29  5.379200      0
30  5.380669      0
31  5.380704      0
32  5.482910      0
33  5.506811      0
34  5.604367      0
35  5.658500      0
36  5.687864      0
37  5.710773      0
38  5.744791      0
39  5.775948      0
40  5.861397      0
41  6.000125      0
42  6.499153      0
Drug 11
        IC50  Label
0   3.063181      0
1   4.084295      0
2   4.134641      0
3   4.205086      0
4   4.420310      0
5   4.479081      0
6   4.546036      0
7   4.815327      0
8   4.892228      0
9   4.919361      0
10  5.096219      0
11  5.111961      0
12  5.173635      0
13  5.187076      0
14  5.339713      1
15  5.363918      1
16  5.406631      1
17  5.409301      1
18  5.417190      1
19  5.481042      1
20  5.510698      1
21  5.554401      1
22  5.563969      1
23  5.660893      1
24  5.664283      1
25  5.666044      1
26  5.756840      1
27  5.782663      1
28  5.807856      1
29  5.841591      1
30  5.871366      1
31  5.901089      1
32  6.035552      1
33  6.045111      1
34  6.062049      1
35  6.092957      1
36  6.117622      1
37  6.155947      1
38  6.191274      1
39  6.203621      1
40  6.461014      1
41  6.702246      1
42  7.356000      1
Drug 12
        IC50  Label
0   3.489918      0
1   3.553578      0
2   3.718668      0
3   3.908963      0
4   3.955445      0
5   4.018781      0
6   4.077648      0
7   4.212875      0
8   4.316316      0
9   4.390961      0
10  4.439284      0
11  4.457781      0
12  4.597360      0
13  4.603024      0
14  4.739624      0
15  4.761474      0
16  4.764401      0
17  4.766817      0
18  4.869628      1
19  4.916935      1
20  4.927908      1
21  4.983142      1
22  5.009414      1
23  5.075171      1
24  5.112713      1
25  5.124274      1
26  5.144797      1
27  5.161619      1
28  5.217400      1
29  5.229912      1
30  5.327414      1
31  5.338662      1
32  5.410125      1
33  5.479834      1
34  5.509458      1
35  5.565553      1
36  5.590569      1
37  5.654675      1
38  5.786655      1
39  5.811698      1
40  5.851293      1
41  5.982602      1
42  6.043972      1
Drug 13
        IC50  Label
0  -0.073388      1
1   0.085619      1
2   1.221095      1
3   1.369640      1
4   1.912853      1
5   2.246323      1
6   2.417868      1
7   2.440822      1
8   2.479855      1
9   2.491248      1
10  2.795835      1
11  2.977840      1
12  3.290842      1
13  3.309159      1
14  3.366132      1
15  3.408025      1
16  3.440672      1
17  3.895860      0
18  3.900131      0
19  3.983597      0
20  4.095058      0
21  4.198990      0
22  4.241084      0
23  4.249172      0
24  4.284119      0
25  4.393342      0
26  4.402599      0
27  4.514487      0
28  4.530978      0
29  4.626004      0
30  4.673059      0
31  4.739870      0
32  4.972763      0
33  4.994247      0
34  5.099389      0
35  5.113227      0
36  5.256772      0
37  5.514689      0
38  5.618227      0
39  5.742345      0
40  5.827983      0
41  5.903836      0
42  7.033593      0
Drug 14
        IC50  Label
0  -0.867349      0
1   0.673253      0
2   0.774774      0
3   0.897847      0
4   0.922633      0
5   1.451810      0
6   1.546247      0
7   1.778612      0
8   1.803478      0
9   1.814685      0
10  1.887349      0
11  2.117381      0
12  2.615350      0
13  2.881569      1
14  2.897995      1
15  3.037342      1
16  3.081983      1
17  3.107184      1
18  3.314854      1
19  3.325060      1
20  3.327535      1
21  3.338874      1
22  3.459460      1
23  3.511770      1
24  3.669367      1
25  3.818043      1
26  3.987997      1
27  4.155999      1
28  4.196788      1
29  4.250948      1
30  4.380253      1
31  4.549691      1
32  4.762911      1
33  4.770307      1
34  4.890529      1
35  5.010760      1
36  5.211230      1
37  5.422849      1
38  5.454497      1
39  5.594773      1
40  5.654872      1
41  5.775294      1
42  6.463307      1
Drug 15
        IC50  Label
0  -3.615152      0
1  -2.580865      0
2  -2.474122      0
3  -2.301704      0
4  -2.176039      0
5  -2.061062      0
6  -1.620268      0
7  -1.565482      0
8  -1.346755      0
9  -1.336022      0
10 -1.245145      0
11 -1.244384      0
12 -1.171854      0
13 -1.095889      0
14 -1.088198      0
15 -1.011082      0
16 -0.964853      0
17 -0.955712      0
18 -0.836517      0
19 -0.787348      0
20 -0.739014      0
21 -0.673904      0
22 -0.611864      0
23 -0.590774      0
24 -0.515776      0
25 -0.458347      0
26 -0.418019      0
27 -0.351848      0
28 -0.264141      0
29 -0.160910      0
30  0.049606      0
31  0.240380      0
32  0.265733      0
33  0.519209      0
34  1.036819      1
35  1.543953      1
36  1.817177      1
37  1.855322      1
38  2.465856      1
39  2.528574      1
40  2.783855      1
41  2.869248      1
42  3.058632      1
Drug 16
        IC50  Label
0   2.303815      1
1   3.312157      1
2   3.551828      1
3   3.781951      1
4   3.823861      1
5   4.057369      1
6   4.148068      1
7   4.209478      1
8   4.259398      1
9   4.313880      1
10  4.424356      1
11  4.580700      1
12  4.662537      0
13  4.739870      0
14  4.778510      0
15  4.861125      0
16  4.952131      0
17  4.981215      0
18  4.997350      0
19  5.086311      0
20  5.092454      0
21  5.114657      0
22  5.124147      0
23  5.133677      0
24  5.177829      0
25  5.189259      0
26  5.218975      0
27  5.222021      0
28  5.246183      0
29  5.329311      0
30  5.384145      0
31  5.388273      0
32  5.412217      0
33  5.511696      0
34  5.542231      0
35  5.575379      0
36  5.602609      0
37  5.628020      0
38  5.766867      0
39  5.787208      0
40  5.905589      0
